id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1,50.8425,50.2336,50.2336,50.2336,51.4514,50.8425,52.0603,51.4514,51.4514,52.0603,50.8425,52.0603,50.2336,50.8425
2,50.8425,50.2336,50.2336,49.6247,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336
3,49.0158,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336
4,48.4069,50.2336,49.6247,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.8425,50.2336
5,49.0158,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,45.9714,45.9714
6,49.0158,49.01583333,48.4069,50.2336,50.2336,49.6247,49.6247,50.2336,50.2336,50.2336,49.6247,50.2336,50.2336,50.2336
7,48.4069,50.2336,48.4069,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336
8,49.0158,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,51.4514,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336
9,50.2336,50.2336,50.2336,50.2336,50.2336,51.4514,50.2336,51.4514,50.2336,50.2336,46.5803,50.2336,50.2336,50.2336
10,49.0158,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336,50.2336
